0,1
5,0.702
10,0.682
15,0.665
20,0.645
25,0.634
30,0.62
40,0.612
50,0.61
60,0.605
90,0.602
120,0.596
150,0.595
180,0.589
210,0.585
240,0.571
270,0.569
300,0.571
